apparentTemperature,cloudCover,date,dewPoint,hour,humidity,icon,ozone,precipAccumulation,precipIntensity,precipProbability,precipType,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
1.78,0.0,2016-01-01,2.14,0,0.85,clear-night,,,0.0,0.0,,1021.89,Clear,4.37,1451602800,0.0,8.32,166.0,,2.96
0.83,0.06,2016-01-01,2.48,1,0.89,clear-night,,,0.0,0.0,,1021.72,Clear,4.06,1451606400,0.0,5.2,168.0,,3.79
0.78,0.37,2016-01-01,2.18,2,0.88,partly-cloudy-night,,,0.0,0.0,,1021.92,Partly Cloudy,3.91,1451610000,0.0,7.95,171.0,,3.58
1.68,0.75,2016-01-01,2.37,3,0.87,partly-cloudy-night,,,0.0,0.0,,1022.32,Mostly Cloudy,4.31,1451613600,0.0,8.53,166.0,,2.98
0.86,0.75,2016-01-01,1.85,4,0.87,partly-cloudy-night,,,0.0,0.0,,1022.74,Mostly Cloudy,3.83,1451617200,0.0,7.31,171.0,,3.33
1.87,0.45,2016-01-01,2.5,5,0.89,partly-cloudy-night,,,0.0,0.0,,1023.09,Partly Cloudy,4.21,1451620800,0.0,7.21,185.0,,2.6
1.67,0.17,2016-01-01,2.47,6,0.92,clear-night,,,0.0,0.0,,1023.19,Clear,3.69,1451624400,0.0,7.89,173.0,,2.18
1.39,0.06,2016-01-01,2.48,7,0.94,clear-night,,,0.0,0.0,,1023.92,Clear,3.42,1451628000,0.0,7.08,176.0,,2.12
1.16,0.03,2016-01-01,1.74,8,0.93,clear-night,,,0.0,0.0,,1024.49,Clear,2.77,1451631600,0.0,4.22,190.0,,1.68
0.53,0.06,2016-01-01,1.94,9,0.97,clear-day,,,0.0,0.0,,1024.97,Clear,2.32,1451635200,0.0,3.98,189.0,,1.77
1.86,0.0,2016-01-01,3.12,10,0.97,clear-day,,,0.0,0.0,,1025.17,Clear,3.57,1451638800,0.0,3.96,165.0,,1.86
3.41,0.07,2016-01-01,3.62,11,0.92,clear-day,,,0.0,0.0,,1025.35,Clear,4.76,1451642400,1.0,4.73,165.0,,1.71
4.56,0.49,2016-01-01,4.31,12,0.93,partly-cloudy-day,,,0.0,0.0,,1025.4,Partly Cloudy,5.41,1451646000,1.0,5.6,190.0,,1.39
6.22,0.66,2016-01-01,4.79,13,0.91,partly-cloudy-day,,,0.0,0.0,,1025.22,Mostly Cloudy,6.22,1451649600,1.0,5.86,168.0,,1.31
